Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"D3","AMBER","LED_0805_2012Metric",109.393333,-140.190000,-90.000000,top
"D4","RED","LED_0805_2012Metric",111.946666,-140.190000,-90.000000,top
"D5","GREEN","LED_0805_2012Metric",114.500000,-140.190000,-90.000000,top
"D8","BLUE","LED_0805_2012Metric",117.750000,-144.007500,90.000000,top
"D9","S10ML-TP","D_SMC",181.098000,-85.471000,0.000000,top
"D10","MBRD835","TO-252-2",172.456000,-78.833000,90.000000,top
"D11","BLUE","LED_0805_2012Metric",104.300000,-140.187500,-90.000000,top
"D12","BLUE","LED_0805_2012Metric",127.664000,-144.017500,90.000000,top
"D13","BLUE","LED_0805_2012Metric",120.200000,-144.000000,90.000000,top
"D14","BLUE","LED_0805_2012Metric",122.624000,-144.017500,90.000000,top
"D15","BLUE","LED_0805_2012Metric",125.150000,-144.017500,90.000000,top
"F1","3544-2","CONN_3544-2_KEY",117.357004,-93.726000,180.000000,top
"F2","3544-2","CONN_3544-2_KEY",134.819504,-93.726000,180.000000,top
"F3","3544-2","CONN_3544-2_KEY",152.282004,-93.726000,180.000000,top
"F4","3544-2","CONN_3544-2_KEY",158.365500,-93.656001,90.000000,top
"F5","3544-2","CONN_3544-2_KEY",166.366000,-75.188449,-90.000000,top
"FB1","300R","L_0603_1608Metric",105.100000,-124.414000,180.000000,top
"FL1","Filter_EMI_LL_1423","CMC",171.597000,-94.722000,-90.000000,top
"IC1","ESDALC6V1W5","SOT65P210X110-5N",98.200000,-111.400000,180.000000,top
"J1","Conn_01x06_Pin","PinHeader_2x03_P2.54mm_Vertical",99.525000,-86.175000,180.000000,top
"J2","USB_B_Micro","USB_Micro-B_Amphenol_10118194_Horizontal",97.733000,-135.950000,-90.000000,top
"J4","DE9_Receptacle_MountingHoles","DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm",135.590000,-148.400000,0.000000,top
"J5","GPIO","PinHeader_2x05_P2.54mm_Vertical",96.900000,-94.650000,0.000000,top
"J6","AMASS XT60-F Vertical","XT-60_female",172.106400,-63.500000,180.000000,top
"J7","STD_PWR_HEADER","CON_430450612_MOL",114.767104,-85.450500,0.000000,top
"J8","STD_PWR_HEADER","CON_430450612_MOL",132.229604,-85.450000,0.000000,top
"J9","STD_PWR_HEADER","CON_430450612_MOL",149.692104,-85.468500,0.000000,top
"J10","STD_PWR_HEADER","CON_430450612_MOL",114.767104,-71.751000,0.000000,top
"J11","STD_PWR_HEADER","CON_430450612_MOL",132.231110,-71.751000,0.000000,top
"J12","STD_PWR_HEADER","CON_430450612_MOL",149.695117,-71.751000,0.000000,top
"L1","2.2u","L_7.3x7.3_H3.5",113.350000,-107.800000,90.000000,top
"L2","2.2u","L_7.3x7.3_H3.5",130.800000,-107.650000,90.000000,top
"L3","2.2u","L_7.3x7.3_H3.5",148.600000,-107.800000,90.000000,top
"R1","10k","R_0805_2012Metric",100.738000,-126.596000,90.000000,top
"R2","220R","R_0805_2012Metric",106.840000,-144.000000,90.000000,top
"R5","400R","R_0805_2012Metric",109.393333,-144.000000,-90.000000,top
"R6","400R","R_0805_2012Metric",111.946666,-144.000000,-90.000000,top
"R7","400R","R_0805_2012Metric",114.500000,-144.000000,-90.000000,top
"R8","120R","R_0603_1608Metric",134.550000,-145.200000,180.000000,top
"R9","400R","R_0805_2012Metric",117.750000,-140.150000,-90.000000,top
"R12","1k","R_0805_2012Metric",104.300000,-144.000000,90.000000,top
"R15","3k3","R_0805_2012Metric",127.664000,-140.182500,-90.000000,top
"R16","52.3k","R_0603_1608Metric",106.400000,-111.850000,180.000000,top
"R17","10k","R_0603_1608Metric",104.850000,-109.550000,-90.000000,top
"R18","52.3k","R_0603_1608Metric",123.750000,-111.850000,180.000000,top
"R19","10k","R_0603_1608Metric",122.250000,-109.550000,-90.000000,top
"R20","52.3k","R_0603_1608Metric",141.500000,-111.900000,180.000000,top
"R21","10k","R_0603_1608Metric",140.000000,-109.600000,-90.000000,top
"R22","1k","R_0805_2012Metric",120.084000,-140.157500,-90.000000,top
"R23","1k","R_0805_2012Metric",122.624000,-140.182500,-90.000000,top
"R24","1k","R_0805_2012Metric",125.200000,-140.182500,-90.000000,top
"SW1","RESET","SW_PUSH_6mm_H5mm",101.150000,-142.350000,-90.000000,top
"SW2","SW_SPDT","SW_SPDT_PCM12",97.035000,-126.724000,-90.000000,top
"SW3","GPBTN","SW_PUSH_6mm_H5mm",101.400000,-70.950000,-90.000000,top
"U4","MCP2542FD-E/SN","SOIC-8_3.9x4.9mm_P1.27mm",134.500000,-140.700000,-90.000000,top
"U7","RPA60-2412SFW","Converter_DCDC_RECOM_RPA60-xxxxSFW",166.112000,-106.375200,0.000000,top
"U9","AP62250Z6","SOT-563",124.169000,-109.688000,-90.000000,top
"U10","AP62250Z6","SOT-563",141.911250,-109.801000,-90.000000,top
"U17","AP62250Z6","SOT-563",106.757250,-109.673250,-90.000000,top
